Year,State Census Code,State,Sector,Obs,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
1999,73,Oklahoma,Priv. Construction,97,61,3,3,4.1%,4.1%
1999,92,Oregon,Total,"1,950","1,420",216,234,15.2%,16.5%
1999,92,Oregon,Public,290,204,102,112,50.0%,55.1%
1999,92,Oregon,Private,"1,660","1,215",114,122,9.4%,10.0%
1999,92,Oregon,Priv. Manufacturing,348,256,31,33,12.2%,12.8%
1999,92,Oregon,Priv. Construction,93,69,11,11,15.4%,16.6%
1999,23,Pennsylvania,Total,"6,716","5,152",896,960,17.4%,18.6%
1999,23,Pennsylvania,Public,852,659,362,390,54.9%,59.2%
1999,23,Pennsylvania,Private,"5,864","4,493",534,570,11.9%,12.7%
1999,23,Pennsylvania,Priv. Manufacturing,"1,207",935,198,206,21.2%,22.0%
1999,23,Pennsylvania,Priv. Construction,274,216,61,65,28.4%,30.0%
1999,15,Rhode Island,Total,"1,743",433,77,81,17.7%,18.8%
1999,15,Rhode Island,Public,245,61,39,41,64.4%,67.6%
1999,15,Rhode Island,Private,"1,498",373,38,40,10.1%,10.9%
1999,15,Rhode Island,Priv. Manufacturing,337,82,11,12,13.3%,14.3%
1999,15,Rhode Island,Priv. Construction,60,15,3,3,22.4%,22.4%
1999,57,South Carolina,Total,"1,730","1,716",61,65,3.5%,3.8%
1999,57,South Carolina,Public,322,318,21,24,6.7%,7.4%
1999,57,South Carolina,Private,"1,408","1,399",40,41,2.8%,3.0%
1999,57,South Carolina,Priv. Manufacturing,391,390,28,29,7.3%,7.5%
1999,57,South Carolina,Priv. Construction,95,97,1,1,1.0%,1.0%
1999,45,South Dakota,Total,"2,165",332,20,26,6.0%,7.8%
1999,45,South Dakota,Public,401,61,12,16,19.0%,26.6%
1999,45,South Dakota,Private,"1,764",271,8,10,3.1%,3.6%
1999,45,South Dakota,Priv. Manufacturing,282,44,3,4,7.4%,8.1%
1999,45,South Dakota,Priv. Construction,100,16,1,1,5.8%,6.7%
1999,62,Tennessee,Total,"2,160","2,411",181,213,7.5%,8.8%
1999,62,Tennessee,Public,354,395,72,88,18.3%,22.2%
1999,62,Tennessee,Private,"1,806","2,017",109,125,5.4%,6.2%
1999,62,Tennessee,Priv. Manufacturing,449,488,48,54,9.8%,11.1%
1999,62,Tennessee,Priv. Construction,110,122,10,10,8.4%,8.4%
1999,74,Texas,Total,"7,915","8,725",520,611,6.0%,7.0%
1999,74,Texas,Public,"1,230","1,314",238,290,18.1%,22.1%
1999,74,Texas,Private,"6,685","7,411",282,321,3.8%,4.3%
1999,74,Texas,Priv. Manufacturing,"1,067","1,171",94,102,8.0%,8.7%
1999,74,Texas,Priv. Construction,487,548,27,32,4.9%,5.9%
1999,87,Utah,Total,"2,442",935,60,70,6.4%,7.5%
1999,87,Utah,Public,425,157,35,40,22.3%,25.2%
1999,87,Utah,Private,"2,017",778,25,30,3.2%,3.9%
1999,87,Utah,Priv. Manufacturing,322,126,5,6,3.7%,4.8%
1999,87,Utah,Priv. Construction,149,59,4,5,7.0%,8.4%
1999,13,Vermont,Total,"1,618",273,26,29,9.7%,10.8%
1999,13,Vermont,Public,214,35,16,18,45.4%,51.0%
1999,13,Vermont,Private,"1,404",237,10,11,4.4%,4.8%
1999,13,Vermont,Priv. Manufacturing,278,47,3,3,5.5%,6.1%
1999,13,Vermont,Priv. Construction,82,14,0,0,2.5%,2.5%
1999,54,Virginia,Total,"2,594","3,107",204,249,6.6%,8.0%
1999,54,Virginia,Public,501,588,77,101,13.1%,17.2%
1999,54,Virginia,Private,"2,093","2,519",127,148,5.0%,5.9%
1999,54,Virginia,Priv. Manufacturing,344,408,43,47,10.5%,11.6%
1999,54,Virginia,Priv. Construction,146,174,11,11,6.1%,6.1%
1999,91,Washington,Total,"2,156","2,585",535,610,20.7%,23.6%
1999,91,Washington,Public,383,454,220,254,48.5%,56.0%
1999,91,Washington,Private,"1,773","2,131",315,355,14.8%,16.7%
1999,91,Washington,Priv. Manufacturing,322,378,94,104,25.0%,27.6%
1999,91,Washington,Priv. Construction,128,157,43,43,27.5%,27.5%
1999,55,West Virginia,Total,"1,887",702,107,113,15.2%,16.1%
1999,55,West Virginia,Public,340,122,35,41,28.4%,33.4%
1999,55,West Virginia,Private,"1,547",581,72,73,12.4%,12.5%
1999,55,West Virginia,Priv. Manufacturing,234,88,25,26,28.9%,29.4%
1999,55,West Virginia,Priv. Construction,98,37,12,12,31.9%,31.9%
1999,35,Wisconsin,Total,"2,462","2,505",452,476,18.1%,19.0%
1999,35,Wisconsin,Public,369,371,215,226,57.9%,60.9%
1999,35,Wisconsin,Private,"2,093","2,133",237,250,11.1%,11.7%
1999,35,Wisconsin,Priv. Manufacturing,608,618,116,120,18.8%,19.5%
1999,35,Wisconsin,Priv. Construction,122,125,40,41,32.2%,33.0%
1999,83,Wyoming,Total,"2,064",212,19,23,9.1%,10.8%
1999,83,Wyoming,Public,497,50,9,11,17.9%,22.5%
1999,83,Wyoming,Private,"1,567",162,10,12,6.3%,7.2%
1999,83,Wyoming,Priv. Manufacturing,101,10,1,1,11.2%,12.6%
1999,83,Wyoming,Priv. Construction,152,16,1,1,7.7%,7.7%
2000,63,Alabama,Total,"2,254","1,878",181,198,9.6%,10.5%
2000,63,Alabama,Public,364,302,89,99,29.6%,32.8%
2000,63,Alabama,Private,"1,890","1,576",92,99,5.8%,6.3%
2000,63,Alabama,Priv. Manufacturing,442,372,53,55,14.4%,14.8%
2000,63,Alabama,Priv. Construction,118,98,5,5,5.2%,5.2%
2000,94,Alaska,Total,"1,929",259,57,64,21.9%,24.8%
2000,94,Alaska,Public,591,77,34,38,43.3%,48.5%
2000,94,Alaska,Private,"1,338",182,23,27,12.8%,14.7%
2000,94,Alaska,Priv. Manufacturing,73,9,1,1,11.8%,11.8%
2000,94,Alaska,Priv. Construction,112,15,3,4,20.7%,24.5%
2000,86,Arizona,Total,"2,483","2,015",130,148,6.4%,7.3%
2000,86,Arizona,Public,395,324,58,65,18.0%,20.1%
2000,86,Arizona,Private,"2,088","1,691",72,83,4.2%,4.9%
2000,86,Arizona,Priv. Manufacturing,291,236,12,12,5.2%,5.2%
2000,86,Arizona,Priv. Construction,196,159,9,12,5.4%,7.3%
2000,71,Arkansas,Total,"2,034","1,052",61,71,5.8%,6.7%
2000,71,Arkansas,Public,338,181,26,28,14.6%,15.7%
2000,71,Arkansas,Private,"1,696",872,35,43,4.0%,4.9%
2000,71,Arkansas,Priv. Manufacturing,447,227,11,14,4.7%,6.4%
2000,71,Arkansas,Priv. Construction,96,51,5,5,9.1%,9.1%
2000,93,California,Total,"13,139","14,359","2,295","2,546",16.0%,17.7%
2000,93,California,Public,"1,991","2,217","1,115","1,253",50.3%,56.5%
2000,93,California,Private,"11,148","12,141","1,180","1,293",9.7%,10.7%
2000,93,California,Priv. Manufacturing,"2,067","2,207",163,182,7.4%,8.2%
2000,93,California,Priv. Construction,670,739,176,184,23.9%,24.8%
2000,84,Colorado,Total,"2,419","1,923",173,193,9.0%,10.0%
2000,84,Colorado,Public,374,292,75,90,25.8%,30.8%
2000,84,Colorado,Private,"2,045","1,631",98,103,6.0%,6.3%
2000,84,Colorado,Priv. Manufacturing,296,231,31,33,13.5%,14.4%
2000,84,Colorado,Priv. Construction,170,137,9,9,6.8%,6.8%
2000,16,Connecticut,Total,"1,756","1,508",246,262,16.3%,17.4%
2000,16,Connecticut,Public,235,195,122,128,62.4%,65.6%
2000,16,Connecticut,Private,"1,521","1,313",124,134,9.4%,10.2%
2000,16,Connecticut,Priv. Manufacturing,334,287,44,46,15.4%,16.0%
2000,16,Connecticut,Priv. Construction,66,58,13,13,22.2%,22.2%
2000,51,Delaware,Total,"1,788",353,47,52,13.3%,14.6%
2000,51,Delaware,Public,261,52,20,23,38.9%,44.2%
2000,51,Delaware,Private,"1,527",302,27,29,8.9%,9.6%
2000,51,Delaware,Priv. Manufacturing,275,54,11,11,19.8%,20.7%
2000,51,Delaware,Priv. Construction,103,21,2,2,9.8%,10.8%
2000,53,District of Columbia,Total,"1,614",244,36,40,14.7%,16.5%
2000,53,District of Columbia,Public,457,68,19,21,28.0%,31.2%
2000,53,District of Columbia,Private,"1,157",175,17,19,9.5%,10.8%
2000,53,District of Columbia,Priv. Manufacturing,44,7,1,1,14.8%,21.1%
2000,53,District of Columbia,Priv. Construction,51,8,1,1,18.9%,18.9%
2000,59,Florida,Total,"7,495","6,399",434,554,6.8%,8.7%
2000,59,Florida,Public,"1,031",879,251,321,28.5%,36.5%
2000,59,Florida,Private,"6,464","5,519",183,233,3.3%,4.2%
2000,59,Florida,Priv. Manufacturing,693,596,26,32,4.3%,5.3%
2000,59,Florida,Priv. Construction,506,432,20,23,4.7%,5.3%
2000,58,Georgia,Total,"2,706","3,632",228,267,6.3%,7.4%
2000,58,Georgia,Public,402,528,85,108,16.1%,20.4%
2000,58,Georgia,Private,"2,304","3,104",143,159,4.6%,5.1%
2000,58,Georgia,Priv. Manufacturing,458,614,58,60,9.5%,9.8%
2000,58,Georgia,Priv. Construction,158,213,19,19,8.8%,8.8%
2000,95,Hawaii,Total,"1,586",497,124,129,24.8%,26.0%
2000,95,Hawaii,Public,352,110,68,70,61.7%,63.7%
2000,95,Hawaii,Private,"1,234",387,56,59,14.4%,15.2%
2000,95,Hawaii,Priv. Manufacturing,68,21,2,3,11.6%,13.0%
2000,95,Hawaii,Priv. Construction,65,19,6,7,31.0%,35.0%
2000,82,Idaho,Total,"2,299",533,41,48,7.6%,9.0%
2000,82,Idaho,Public,438,95,16,21,17.4%,22.2%
2000,82,Idaho,Private,"1,861",439,24,27,5.5%,6.2%
2000,82,Idaho,Priv. Manufacturing,362,83,8,8,9.2%,9.9%
2000,82,Idaho,Priv. Construction,162,39,3,3,8.1%,8.8%
2000,33,Illinois,Total,"7,176","5,639","1,046","1,101",18.6%,19.5%
2000,33,Illinois,Public,958,763,358,376,46.9%,49.3%
2000,33,Illinois,Private,"6,218","4,876",688,724,14.1%,14.9%
2000,33,Illinois,Priv. Manufacturing,"1,246",988,201,209,20.3%,21.2%
2000,33,Illinois,Priv. Construction,359,287,132,134,46.0%,46.6%
2000,32,Indiana,Total,"2,271","2,687",418,461,15.6%,17.1%
2000,32,Indiana,Public,309,359,113,131,31.5%,36.5%
2000,32,Indiana,Private,"1,962","2,328",305,329,13.1%,14.1%
2000,32,Indiana,Priv. Manufacturing,620,732,162,168,22.1%,23.0%
2000,32,Indiana,Priv. Construction,109,130,42,43,32.3%,33.1%
2000,42,Iowa,Total,"2,214","1,333",182,215,13.6%,16.1%
2000,42,Iowa,Public,370,220,65,88,29.6%,40.3%
2000,42,Iowa,Private,"1,844","1,114",117,127,10.5%,11.4%
2000,42,Iowa,Priv. Manufacturing,436,263,63,67,24.0%,25.3%
2000,42,Iowa,Priv. Construction,119,75,13,13,17.2%,17.2%
2000,47,Kansas,Total,"2,225","1,200",109,135,9.0%,11.2%
2000,47,Kansas,Public,431,229,30,44,13.3%,19.2%
2000,47,Kansas,Private,"1,794",972,78,91,8.0%,9.3%
2000,47,Kansas,Priv. Manufacturing,344,186,36,43,19.2%,23.3%
2000,47,Kansas,Priv. Construction,125,70,13,13,18.0%,18.0%
2000,61,Kentucky,Total,"2,079","1,729",208,235,12.0%,13.6%
2000,61,Kentucky,Public,345,284,63,73,22.0%,25.8%
2000,61,Kentucky,Private,"1,734","1,445",145,161,10.1%,11.2%
2000,61,Kentucky,Priv. Manufacturing,342,284,66,68,23.4%,24.0%
2000,61,Kentucky,Priv. Construction,120,101,18,20,17.9%,19.6%
2000,72,Louisiana,Total,"1,866","1,711",122,155,7.1%,9.0%
2000,72,Louisiana,Public,342,307,45,66,14.8%,21.5%
2000,72,Louisiana,Private,"1,524","1,403",77,89,5.5%,6.3%
2000,72,Louisiana,Priv. Manufacturing,178,162,25,28,15.5%,17.3%
2000,72,Louisiana,Priv. Construction,130,121,15,15,12.0%,12.0%
2000,11,Maine,Total,"1,727",556,78,92,14.0%,16.6%
2000,11,Maine,Public,276,87,41,49,46.7%,56.5%
2000,11,Maine,Private,"1,451",469,37,43,8.0%,9.2%
2000,11,Maine,Priv. Manufacturing,264,84,19,20,22.6%,24.4%
2000,11,Maine,Priv. Construction,97,33,4,4,11.4%,13.6%
2000,52,Maryland,Total,"1,949","2,423",353,406,14.6%,16.7%
2000,52,Maryland,Public,454,568,209,240,36.7%,42.3%
2000,52,Maryland,Private,"1,495","1,856",145,165,7.8%,8.9%
2000,52,Maryland,Priv. Manufacturing,173,210,40,43,18.8%,20.6%
2000,52,Maryland,Priv. Construction,118,145,13,16,9.2%,10.8%
2000,14,Massachusetts,Total,"3,910","2,841",406,445,14.3%,15.7%
2000,14,Massachusetts,Public,540,382,212,226,55.4%,59.2%
2000,14,Massachusetts,Private,"3,370","2,459",195,218,7.9%,8.9%
2000,14,Massachusetts,Priv. Manufacturing,572,415,36,40,8.7%,9.6%
2000,14,Massachusetts,Priv. Construction,182,136,29,30,21.6%,22.1%
2000,34,Michigan,Total,"5,850","4,513",938,985,20.8%,21.8%
2000,34,Michigan,Public,772,597,322,338,53.9%,56.7%
2000,34,Michigan,Private,"5,078","3,916",617,647,15.7%,16.5%
2000,34,Michigan,Priv. Manufacturing,"1,400","1,079",311,319,28.8%,29.6%
2000,34,Michigan,Priv. Construction,286,223,71,72,31.8%,32.2%
2000,41,Minnesota,Total,"2,569","2,307",419,434,18.2%,18.8%
2000,41,Minnesota,Public,373,324,174,177,53.7%,54.5%
2000,41,Minnesota,Private,"2,196","1,982",245,257,12.3%,13.0%
2000,41,Minnesota,Priv. Manufacturing,460,408,57,58,13.9%,14.1%
2000,41,Minnesota,Priv. Construction,138,126,41,42,32.5%,33.4%
2000,64,Mississippi,Total,"1,706","1,120",68,104,6.0%,9.3%
2000,64,Mississippi,Public,309,195,17,42,9.0%,21.4%
2000,64,Mississippi,Private,"1,397",926,50,63,5.4%,6.8%
2000,64,Mississippi,Priv. Manufacturing,349,236,30,34,12.6%,14.5%
2000,64,Mississippi,Priv. Construction,65,42,5,5,11.3%,11.3%
2000,43,Missouri,Total,"2,110","2,567",338,365,13.2%,14.2%
2000,43,Missouri,Public,311,377,74,92,19.6%,24.3%
2000,43,Missouri,Private,"1,799","2,190",264,274,12.1%,12.5%
2000,43,Missouri,Priv. Manufacturing,311,374,82,83,21.8%,22.2%
2000,43,Missouri,Priv. Construction,128,157,64,64,41.0%,41.0%
2000,81,Montana,Total,"2,083",369,51,58,13.9%,15.7%
2000,81,Montana,Public,468,82,28,31,33.8%,38.3%
2000,81,Montana,Private,"1,615",287,24,26,8.2%,9.2%
2000,81,Montana,Priv. Manufacturing,178,30,4,5,13.8%,14.9%
2000,81,Montana,Priv. Construction,114,21,2,3,11.0%,12.6%
2000,46,Nebraska,Total,"2,335",775,65,89,8.4%,11.5%
2000,46,Nebraska,Public,402,131,35,47,27.2%,36.1%
2000,46,Nebraska,Private,"1,933",644,29,42,4.6%,6.5%
2000,46,Nebraska,Priv. Manufacturing,314,103,14,22,13.1%,21.3%
2000,46,Nebraska,Priv. Construction,103,35,2,3,6.2%,7.3%
2000,88,Nevada,Total,"2,470",881,151,165,17.1%,18.8%
2000,88,Nevada,Public,332,115,46,54,39.6%,46.8%
2000,88,Nevada,Private,"2,138",766,105,112,13.8%,14.6%
2000,88,Nevada,Priv. Manufacturing,109,39,3,3,7.0%,7.0%
2000,88,Nevada,Priv. Construction,224,78,19,19,23.6%,24.7%
2000,12,New Hampshire,Total,"1,838",576,60,67,10.4%,11.6%
2000,12,New Hampshire,Public,254,77,29,34,37.4%,44.4%
2000,12,New Hampshire,Private,"1,584",499,31,33,6.3%,6.6%
2000,12,New Hampshire,Priv. Manufacturing,373,116,8,8,7.1%,7.3%
2000,12,New Hampshire,Priv. Construction,96,30,6,6,19.0%,19.0%
2000,22,New Jersey,Total,"4,949","3,668",762,801,20.8%,21.8%
2000,22,New Jersey,Public,784,569,355,372,62.4%,65.4%
2000,22,New Jersey,Private,"4,165","3,098",407,428,13.1%,13.8%
2000,22,New Jersey,Priv. Manufacturing,654,491,91,93,18.5%,19.1%
2000,22,New Jersey,Priv. Construction,225,164,52,52,31.7%,31.7%
2000,85,New Mexico,Total,"2,039",692,56,70,8.1%,10.1%
2000,85,New Mexico,Public,528,179,28,39,15.7%,21.9%
2000,85,New Mexico,Private,"1,511",513,28,30,5.5%,5.9%
2000,85,New Mexico,Priv. Manufacturing,113,38,1,1,3.0%,3.8%
2000,85,New Mexico,Priv. Construction,106,37,2,2,5.9%,5.9%
2000,21,New York,Total,"9,691","7,683","1,958","2,036",25.5%,26.5%
2000,21,New York,Public,"1,800","1,410",995,"1,020",70.6%,72.3%
2000,21,New York,Private,"7,891","6,273",963,"1,016",15.3%,16.2%
2000,21,New York,Priv. Manufacturing,"1,144",904,180,187,19.9%,20.7%
2000,21,New York,Priv. Construction,448,360,113,115,31.4%,31.9%
2000,56,North Carolina,Total,"4,151","3,404",124,148,3.6%,4.4%
2000,56,North Carolina,Public,622,505,56,64,11.1%,12.7%
2000,56,North Carolina,Private,"3,529","2,899",68,84,2.4%,2.9%
2000,56,North Carolina,Priv. Manufacturing,951,784,21,26,2.7%,3.3%
2000,56,North Carolina,Priv. Construction,285,237,5,8,2.3%,3.4%
2000,44,North Dakota,Total,"2,096",272,18,21,6.5%,7.8%
2000,44,North Dakota,Public,469,59,10,12,16.4%,20.2%
2000,44,North Dakota,Private,"1,627",213,8,9,3.7%,4.3%
2000,44,North Dakota,Priv. Manufacturing,171,22,3,3,12.4%,13.7%
2000,44,North Dakota,Priv. Construction,92,12,1,2,10.7%,12.8%
2000,31,Ohio,Total,"6,304","5,071",879,955,17.3%,18.8%
2000,31,Ohio,Public,862,691,339,376,49.0%,54.4%
2000,31,Ohio,Private,"5,442","4,381",540,579,12.3%,13.2%
2000,31,Ohio,Priv. Manufacturing,"1,280","1,059",258,266,24.3%,25.2%
2000,31,Ohio,Priv. Construction,276,226,60,62,26.7%,27.6%
2000,73,Oklahoma,Total,"2,284","1,384",94,108,6.8%,7.8%
2000,73,Oklahoma,Public,452,267,45,56,16.8%,21.0%
2000,73,Oklahoma,Private,"1,832","1,117",49,52,4.4%,4.7%
2000,73,Oklahoma,Priv. Manufacturing,338,204,24,25,11.6%,12.2%
2000,73,Oklahoma,Priv. Construction,112,70,2,3,2.7%,3.7%
2000,92,Oregon,Total,"1,951","1,457",234,251,16.1%,17.2%
2000,92,Oregon,Public,284,209,112,119,53.8%,57.0%
2000,92,Oregon,Private,"1,667","1,248",122,132,9.8%,10.6%
2000,92,Oregon,Priv. Manufacturing,338,250,28,31,11.3%,12.4%
2000,92,Oregon,Priv. Construction,104,78,18,18,22.5%,22.5%
2000,23,Pennsylvania,Total,"6,659","5,149",870,926,16.9%,18.0%
2000,23,Pennsylvania,Public,850,674,369,398,54.7%,59.0%
2000,23,Pennsylvania,Private,"5,809","4,475",501,528,11.2%,11.8%
2000,23,Pennsylvania,Priv. Manufacturing,"1,215",953,176,181,18.5%,19.0%
2000,23,Pennsylvania,Priv. Construction,283,223,52,53,23.4%,23.7%
2000,15,Rhode Island,Total,"1,704",438,80,83,18.2%,18.8%
2000,15,Rhode Island,Public,240,62,42,43,68.5%,70.4%
2000,15,Rhode Island,Private,"1,464",376,37,39,9.9%,10.4%
2000,15,Rhode Island,Priv. Manufacturing,298,76,8,9,10.9%,11.2%
2000,15,Rhode Island,Priv. Construction,70,19,4,5,23.2%,24.4%
2000,57,South Carolina,Total,"1,754","1,740",70,89,4.0%,5.1%
2000,57,South Carolina,Public,312,311,31,40,10.0%,13.0%
2000,57,South Carolina,Private,"1,442","1,429",39,48,2.8%,3.4%
2000,57,South Carolina,Priv. Manufacturing,392,385,18,19,4.6%,5.0%
2000,57,South Carolina,Priv. Construction,108,113,2,4,2.1%,3.9%
2000,45,South Dakota,Total,"2,252",329,18,22,5.5%,6.7%
2000,45,South Dakota,Public,463,62,11,15,18.5%,23.6%
2000,45,South Dakota,Private,"1,789",267,7,8,2.5%,2.8%
2000,45,South Dakota,Priv. Manufacturing,283,43,2,2,5.2%,5.6%
2000,45,South Dakota,Priv. Construction,106,16,1,1,6.6%,6.6%
2000,62,Tennessee,Total,"2,112","2,387",212,239,8.9%,10.0%
2000,62,Tennessee,Public,316,350,75,91,21.4%,25.9%
2000,62,Tennessee,Private,"1,796","2,036",137,148,6.7%,7.3%
2000,62,Tennessee,Priv. Manufacturing,414,463,55,60,11.9%,12.9%
2000,62,Tennessee,Priv. Construction,116,135,19,19,14.1%,14.1%
2000,74,Texas,Total,"8,009","8,755",505,645,5.8%,7.4%
2000,74,Texas,Public,"1,292","1,384",225,300,16.3%,21.6%
2000,74,Texas,Private,"6,717","7,370",280,346,3.8%,4.7%
2000,74,Texas,Priv. Manufacturing,"1,106","1,201",103,118,8.5%,9.8%
2000,74,Texas,Priv. Construction,517,560,22,28,4.0%,5.0%
2000,87,Utah,Total,"2,318",945,69,85,7.3%,9.0%
2000,87,Utah,Public,398,157,34,41,21.6%,26.2%
2000,87,Utah,Private,"1,920",787,35,44,4.5%,5.5%
2000,87,Utah,Priv. Manufacturing,314,128,7,8,5.8%,6.3%
2000,87,Utah,Priv. Construction,157,64,6,6,8.7%,9.4%
2000,13,Vermont,Total,"1,634",274,28,34,10.3%,12.4%
2000,13,Vermont,Public,254,41,16,20,39.5%,48.0%
2000,13,Vermont,Private,"1,380",232,12,14,5.1%,6.1%
2000,13,Vermont,Priv. Manufacturing,288,49,4,5,8.4%,9.8%
2000,13,Vermont,Priv. Construction,70,12,1,1,11.5%,11.5%
2000,54,Virginia,Total,"2,657","3,199",179,227,5.6%,7.1%
2000,54,Virginia,Public,546,646,79,104,12.2%,16.1%
2000,54,Virginia,Private,"2,111","2,553",100,123,3.9%,4.8%
2000,54,Virginia,Priv. Manufacturing,328,395,41,43,10.5%,10.8%
2000,54,Virginia,Priv. Construction,162,200,6,10,3.1%,4.8%
2000,91,Washington,Total,"2,112","2,593",471,516,18.2%,19.9%
2000,91,Washington,Public,378,457,220,243,48.1%,53.1%
2000,91,Washington,Private,"1,734","2,135",251,273,11.8%,12.8%
2000,91,Washington,Priv. Manufacturing,266,324,75,80,23.0%,24.5%
2000,91,Washington,Priv. Construction,141,176,34,35,19.1%,19.7%
2000,55,West Virginia,Total,"1,937",718,103,111,14.3%,15.5%
2000,55,West Virginia,Public,365,131,30,35,23.2%,26.7%
2000,55,West Virginia,Private,"1,572",587,72,76,12.4%,13.0%
2000,55,West Virginia,Priv. Manufacturing,254,96,33,34,34.8%,35.2%
2000,55,West Virginia,Priv. Construction,90,33,6,6,17.5%,18.6%
2000,35,Wisconsin,Total,"2,489","2,533",446,473,17.6%,18.7%
2000,35,Wisconsin,Public,343,341,189,202,55.4%,59.2%
2000,35,Wisconsin,Private,"2,146","2,192",257,272,11.7%,12.4%
2000,35,Wisconsin,Priv. Manufacturing,629,639,126,130,19.7%,20.4%
2000,35,Wisconsin,Priv. Construction,112,116,52,52,44.5%,45.3%
2000,83,Wyoming,Total,"2,144",216,18,22,8.3%,10.0%
2000,83,Wyoming,Public,539,54,9,11,16.8%,20.2%
2000,83,Wyoming,Private,"1,605",162,9,11,5.5%,6.6%
2000,83,Wyoming,Priv. Manufacturing,99,10,1,1,8.7%,11.2%
2000,83,Wyoming,Priv. Construction,159,16,1,1,6.6%,8.9%
2001,63,Alabama,Total,"2,416","1,827",181,202,9.9%,11.0%
2001,63,Alabama,Public,402,297,81,91,27.2%,30.8%
2001,63,Alabama,Private,"2,014","1,530",100,110,6.5%,7.2%
2001,63,Alabama,Priv. Manufacturing,465,354,56,58,15.8%,16.5%
2001,63,Alabama,Priv. Construction,126,98,7,8,7.3%,8.3%
2001,94,Alaska,Total,"2,310",269,59,67,22.0%,24.8%
2001,94,Alaska,Public,700,78,35,40,45.8%,51.6%
2001,94,Alaska,Private,"1,610",191,24,27,12.3%,13.9%
2001,94,Alaska,Priv. Manufacturing,79,9,1,1,9.5%,10.3%
2001,94,Alaska,Priv. Construction,132,16,4,5,26.7%,29.4%
2001,86,Arizona,Total,"2,341","2,059",122,135,5.9%,6.6%
2001,86,Arizona,Public,434,379,66,73,17.5%,19.2%
2001,86,Arizona,Private,"1,907","1,680",55,62,3.3%,3.7%
2001,86,Arizona,Priv. Manufacturing,245,218,8,9,3.5%,4.3%
2001,86,Arizona,Priv. Construction,186,159,9,9,5.8%,5.8%
2001,71,Arkansas,Total,"1,916","1,025",64,79,6.3%,7.7%
2001,71,Arkansas,Public,356,198,27,32,13.6%,16.0%
2001,71,Arkansas,Private,"1,560",827,37,47,4.5%,5.7%
2001,71,Arkansas,Priv. Manufacturing,374,193,18,24,9.1%,12.3%
2001,71,Arkansas,Priv. Construction,80,43,2,2,3.9%,3.9%
2001,93,California,Total,"12,677","14,551","2,392","2,614",16.4%,18.0%
2001,93,California,Public,"2,012","2,332","1,207","1,340",51.7%,57.4%
2001,93,California,Private,"10,665","12,219","1,185","1,274",9.7%,10.4%
2001,93,California,Priv. Manufacturing,"1,868","2,097",180,193,8.6%,9.2%
2001,93,California,Priv. Construction,706,832,178,181,21.4%,21.7%
2001,84,Colorado,Total,"3,041","1,935",178,204,9.2%,10.5%
2001,84,Colorado,Public,454,288,76,89,26.3%,30.8%
2001,84,Colorado,Private,"2,587","1,647",102,115,6.2%,7.0%
2001,84,Colorado,Priv. Manufacturing,362,230,21,22,9.3%,9.7%
2001,84,Colorado,Priv. Construction,202,125,11,11,8.7%,8.7%
2001,16,Connecticut,Total,"2,420","1,486",224,234,15.1%,15.8%
2001,16,Connecticut,Public,342,209,115,118,55.1%,56.5%
2001,16,Connecticut,Private,"2,078","1,277",109,116,8.5%,9.1%
2001,16,Connecticut,Priv. Manufacturing,398,244,30,31,12.3%,12.6%
2001,16,Connecticut,Priv. Construction,96,59,14,14,24.2%,24.2%
2001,51,Delaware,Total,"2,149",371,46,50,12.4%,13.6%
2001,51,Delaware,Public,305,53,20,21,37.9%,40.4%
2001,51,Delaware,Private,"1,844",319,26,29,8.2%,9.2%
2001,51,Delaware,Priv. Manufacturing,315,54,9,11,16.8%,20.1%
2001,51,Delaware,Priv. Construction,134,23,3,3,11.6%,12.1%
2001,53,District of Columbia,Total,"1,847",242,41,51,16.7%,20.8%
2001,53,District of Columbia,Public,515,68,21,26,30.9%,37.9%
2001,53,District of Columbia,Private,"1,332",175,20,25,11.3%,14.2%
2001,53,District of Columbia,Priv. Manufacturing,51,7,1,1,8.8%,12.0%
2001,53,District of Columbia,Priv. Construction,70,9,2,3,23.3%,28.4%
2001,59,Florida,Total,"7,312","6,476",427,554,6.6%,8.6%
2001,59,Florida,Public,"1,001",871,232,298,26.6%,34.2%
2001,59,Florida,Private,"6,311","5,606",195,257,3.5%,4.6%
2001,59,Florida,Priv. Manufacturing,627,559,21,22,3.7%,4.0%
2001,59,Florida,Priv. Construction,502,442,19,23,4.3%,5.3%
2001,58,Georgia,Total,"2,556","3,615",261,300,7.2%,8.3%
2001,58,Georgia,Public,373,519,102,118,19.7%,22.8%
2001,58,Georgia,Private,"2,183","3,096",159,181,5.1%,5.9%
2001,58,Georgia,Priv. Manufacturing,415,580,48,54,8.3%,9.3%
2001,58,Georgia,Priv. Construction,150,212,27,27,12.6%,12.6%
2001,95,Hawaii,Total,"2,059",509,119,129,23.4%,25.3%
2001,95,Hawaii,Public,400,97,54,58,55.6%,60.1%
2001,95,Hawaii,Private,"1,659",412,65,70,15.8%,17.1%
2001,95,Hawaii,Priv. Manufacturing,70,18,2,3,12.5%,14.5%
2001,95,Hawaii,Priv. Construction,106,25,10,11,41.3%,42.0%
2001,82,Idaho,Total,"2,361",555,42,48,7.5%,8.6%
